NR,N_ANSWERS,TASK_LENGTH,TASK_CATEGORY,DISTRACTOR,DISTRACTOR_CATEGORY
1,4,4,ZWIERZETA,FALSE,MEBLE
2,4,5,ZWIERZETA,TRUE,DRZEWA
3,4,6,ZWIERZETA,FALSE,CIALO
4,4,7,ZWIERZETA,TRUE,JEDZENIE
5,4,4,MEBLE,TRUE,DRZEWA
6,4,5,MEBLE,FALSE,CIALO
7,4,6,MEBLE,FALSE,JEDZENIE
8,4,7,MEBLE,FALSE,ZWIERZETA
9,4,4,CIALO,FALSE,JEDZENIE
10,4,5,CIALO,TRUE,ZWIERZETA
11,4,6,CIALO,TRUE,DRZEWA
12,4,7,CIALO,FALSE,MEBLE
13,4,4,JEDZENIE,FALSE,ZWIERZETA
14,4,5,JEDZENIE,TRUE,DRZEWA
15,4,6,JEDZENIE,TRUE,MEBLE
16,4,7,JEDZENIE,TRUE,CIALO
17,4,4,DRZEWA,TRUE,MEBLE
18,4,5,DRZEWA,TRUE,CIALO
19,4,6,DRZEWA,TRUE,JEDZENIE
20,4,7,DRZEWA,TRUE,ZWIERZETA
21,4,4,MEBLE,TRUE,DRZEWA
22,4,5,DRZEWA,TRUE,CIALO
23,4,6,CIALO,TRUE,JEDZENIE
24,4,7,JEDZENIE,TRUE,ZWIERZETA
25,4,4,ZWIERZETA,TRUE,MEBLE
26,4,5,MEBLE,TRUE,DRZEWA
27,4,6,DRZEWA,TRUE,CIALO
28,4,7,CIALO,TRUE,JEDZENIE
29,4,5,JEDZENIE,TRUE,ZWIERZETA
30,4,6,ZWIERZETA,TRUE,MEBLE
31,4,4,MEBLE,FALSE,DRZEWA
32,4,5,MEBLE,FALSE,CIALO
33,4,6,DRZEWA,TRUE,JEDZENIE
34,4,7,DRZEWA,FALSE,ZWIERZETA
35,4,4,CIALO,FALSE,MEBLE
36,4,5,CIALO,TRUE,DRZEWA
37,4,6,JEDZENIE,FALSE,CIALO
38,4,7,JEDZENIE,FALSE,ZWIERZETA
39,4,4,ZWIERZETA,TRUE,JEDZENIE
40,4,5,ZWIERZETA,FALSE,MEBLE